date_utc,salinity,precip_total
2023-02-13 00:00:00+00:00,19.12857142857143,
2023-02-14 00:00:00+00:00,16.426041666666666,
2023-02-15 00:00:00+00:00,17.075,
2023-02-16 00:00:00+00:00,17.061458333333334,
2023-02-17 00:00:00+00:00,18.455434782608698,
2023-02-18 00:00:00+00:00,17.602083333333333,
2023-02-19 00:00:00+00:00,21.37263157894737,
2023-02-20 00:00:00+00:00,21.882291666666664,
2023-02-21 00:00:00+00:00,21.609574468085107,
2023-02-22 00:00:00+00:00,21.0,
2023-02-23 00:00:00+00:00,20.996739130434783,
2023-02-24 00:00:00+00:00,18.592307692307692,
2023-02-25 00:00:00+00:00,16.569148936170212,
2023-02-26 00:00:00+00:00,17.097894736842104,
2023-02-27 00:00:00+00:00,15.885263157894736,
2023-02-28 00:00:00+00:00,19.43191489361702,
2023-03-01 00:00:00+00:00,14.203125,
2023-03-02 00:00:00+00:00,16.068421052631578,
2023-03-03 00:00:00+00:00,14.503157894736841,
2023-03-04 00:00:00+00:00,18.363541666666666,
2023-03-05 00:00:00+00:00,16.075,
2023-03-06 00:00:00+00:00,15.363218390804597,
2023-03-07 00:00:00+00:00,18.608421052631577,
2023-03-08 00:00:00+00:00,17.8625,
2023-03-09 00:00:00+00:00,20.33473684210526,
2023-03-10 00:00:00+00:00,20.681250000000002,
2023-03-11 00:00:00+00:00,20.96,
2023-03-12 00:00:00+00:00,20.458333333333332,
2023-03-13 00:00:00+00:00,20.063541666666666,
2023-03-14 00:00:00+00:00,15.44,
2023-03-15 00:00:00+00:00,11.50625,
2023-03-16 00:00:00+00:00,17.290526315789474,
2023-03-17 00:00:00+00:00,17.099999999999998,
2023-03-18 00:00:00+00:00,17.24,
2023-03-19 00:00:00+00:00,15.636458333333332,
2023-03-20 00:00:00+00:00,16.289583333333333,
2023-03-21 00:00:00+00:00,17.253125,
2023-03-22 00:00:00+00:00,17.08842105263158,
2023-03-23 00:00:00+00:00,17.7625,
2023-03-24 00:00:00+00:00,15.852083333333333,
2023-03-25 00:00:00+00:00,14.456842105263158,
2023-03-26 00:00:00+00:00,11.58842105263158,
