date_utc,salinity
2019-07-30 00:00:00+00:00,20.152631578947368
2019-07-31 00:00:00+00:00,22.03684210526316
2019-08-01 00:00:00+00:00,21.949473684210524
2019-08-02 00:00:00+00:00,22.37263157894737
2019-08-03 00:00:00+00:00,22.978947368421053
2019-08-04 00:00:00+00:00,22.829166666666666
2019-08-05 00:00:00+00:00,22.319791666666664
2019-08-06 00:00:00+00:00,22.561702127659576
2019-08-07 00:00:00+00:00,22.620833333333334
2019-08-08 00:00:00+00:00,22.236842105263158
2019-08-09 00:00:00+00:00,21.236458333333335
2019-08-10 00:00:00+00:00,20.323958333333334
2019-08-11 00:00:00+00:00,20.28125
2019-08-12 00:00:00+00:00,20.620430107526882
2019-08-13 00:00:00+00:00,22.02947368421053
2019-08-14 00:00:00+00:00,22.228125000000002
2019-08-15 00:00:00+00:00,22.562105263157896
2019-08-16 00:00:00+00:00,23.009375000000002
2019-08-17 00:00:00+00:00,22.570526315789472
2019-08-18 00:00:00+00:00,21.969791666666666
2019-08-19 00:00:00+00:00,21.411458333333332
2019-08-20 00:00:00+00:00,20.51875
2019-08-21 00:00:00+00:00,20.668817204301074
2019-08-22 00:00:00+00:00,19.743750000000002
2019-08-23 00:00:00+00:00,17.823958333333334
2019-08-24 00:00:00+00:00,17.99578947368421
2019-08-25 00:00:00+00:00,19.441666666666666
2019-08-26 00:00:00+00:00,20.469791666666666
2019-08-27 00:00:00+00:00,20.721875
2019-08-28 00:00:00+00:00,21.830526315789474
2019-08-29 00:00:00+00:00,21.976041666666664
2019-08-30 00:00:00+00:00,22.354166666666668
2019-08-31 00:00:00+00:00,22.311458333333334
2019-09-01 00:00:00+00:00,22.862105263157897
2019-09-02 00:00:00+00:00,23.542708333333334
2019-09-03 00:00:00+00:00,22.934736842105266
2019-09-04 00:00:00+00:00,22.493750000000002
2019-09-05 00:00:00+00:00,20.988541666666666
2019-09-06 00:00:00+00:00,21.369473684210526
2019-09-07 00:00:00+00:00,21.644791666666666
2019-09-08 00:00:00+00:00,20.181250000000002
2019-09-09 00:00:00+00:00,18.471875
2019-09-10 00:00:00+00:00,20.171875
2019-09-11 00:00:00+00:00,20.723958333333332
2019-09-12 00:00:00+00:00,20.176041666666666
2019-09-13 00:00:00+00:00,20.662499999999998
2019-09-14 00:00:00+00:00,20.140425531914893
2019-09-15 00:00:00+00:00,18.560416666666665
2019-09-16 00:00:00+00:00,17.597894736842104
2019-09-17 00:00:00+00:00,16.989473684210527
2019-09-18 00:00:00+00:00,15.858510638297872
2019-09-19 00:00:00+00:00,17.486458333333335
2019-09-20 00:00:00+00:00,16.382105263157893
2019-09-21 00:00:00+00:00,14.67157894736842
2019-09-22 00:00:00+00:00,13.56875
2019-09-23 00:00:00+00:00,12.259574468085107
2019-09-24 00:00:00+00:00,10.63125
2019-09-25 00:00:00+00:00,11.32
2019-09-26 00:00:00+00:00,11.080208333333333
2019-09-27 00:00:00+00:00,10.126315789473685
2019-09-28 00:00:00+00:00,15.236842105263158
2019-09-29 00:00:00+00:00,16.93578947368421
2019-09-30 00:00:00+00:00,18.940625
2019-10-01 00:00:00+00:00,19.451041666666665
2019-10-02 00:00:00+00:00,18.202105263157897
2019-10-03 00:00:00+00:00,17.104166666666668
2019-10-04 00:00:00+00:00,14.826041666666667
2019-10-05 00:00:00+00:00,13.219791666666666
2019-10-06 00:00:00+00:00,13.648958333333333
2019-10-07 00:00:00+00:00,14.645833333333334
2019-10-08 00:00:00+00:00,12.942105263157895
2019-10-09 00:00:00+00:00,12.416842105263157
2019-10-10 00:00:00+00:00,11.485263157894735
2019-10-11 00:00:00+00:00,11.309473684210527
2019-10-12 00:00:00+00:00,10.570212765957447
2019-10-13 00:00:00+00:00,8.914583333333333
